FID,X,Y
201,114.0270577,22.44296913
202,114.0279954,22.44296209
203,114.0304716,22.44122611
204,114.0307737,22.44184393
205,114.0313374,22.44182967
206,114.0302595,22.44184801
207,114.0296287,22.44184059
208,114.0293959,22.44120474
209,114.029954,22.44240652
210,114.0299861,22.44318655
211,114.0299799,22.44360873
212,114.0310746,22.44264388
213,114.0317097,22.44340194
214,114.0289196,22.44239239
215,114.0286707,22.44301933
216,114.0293399,22.44306109
217,114.0287145,22.4432839
218,114.0293599,22.44343237
219,114.03223,22.44085819
220,114.0316211,22.44121522
221,114.0318995,22.44182323
222,114.0322083,22.44153307
223,114.0330189,22.44123225
224,114.0349916,22.44172449
225,114.032245,22.44270055
226,114.0328577,22.44354686
227,114.0346813,22.44352013
228,114.0334298,22.44307556
229,114.0345055,22.44267414
230,114.0334172,22.4421506
231,114.0373315,22.44008262
232,114.0342876,22.440887
233,114.0359327,22.44216483
234,114.0394375,22.44127376
235,114.0529309,22.44186897
236,114.0520049,22.44219891
237,114.0511713,22.442631
238,114.0507418,22.44364955
239,114.0630695,22.4422559
240,114.0627618,22.44249532
241,114.0624135,22.44288651
242,114.0620183,22.44201322
243,114.0585615,22.44212912
244,114.0609486,22.44233046
245,114.0614775,22.44242704
246,114.0608591,22.44256511
247,114.0613174,22.44281394
248,114.0604486,22.4410409
249,114.0610676,22.44194539
250,114.0635798,22.44274929
251,114.0645871,22.44240123
252,114.0652779,22.44260707
253,114.0682107,22.44159103
254,114.0651634,22.44301651
255,114.0690108,22.44247384
256,114.0680613,22.44259816
257,114.069649,22.44254181
258,114.0691083,22.44282829
259,114.0681851,22.44299143
260,114.0673443,22.44266466
261,114.0661689,22.44287684
262,114.0675467,22.44307212
263,113.9949812,22.4371041
264,113.9974871,22.43916995
265,113.995842,22.43896065
266,113.9966136,22.43718982
267,113.9988337,22.43808065
268,114.0113487,22.43816051
269,114.0111475,22.43893514
270,114.0151673,22.43765013
271,114.0130007,22.43792831
272,114.0137435,22.43794544
273,114.0142294,22.43794025
274,114.0145423,22.43788294
275,114.014421,22.43803892
276,114.0150547,22.43830292
277,114.0120382,22.43779376
278,114.0192328,22.43755298
279,114.0194005,22.43946747
280,114.0198261,22.44007203
281,114.0206527,22.43865663
282,114.0212251,22.4402933
283,114.0237146,22.43776751
284,114.022169,22.43933166
285,114.0239197,22.44069245
286,114.0257671,22.43883518
287,114.0260509,22.43975307
288,114.025736,22.43982504
289,114.0255427,22.43796069
290,114.0261379,22.44058482
291,114.0271785,22.4381849
292,114.0281346,22.44063524
293,114.0310726,22.44063697
294,114.0301178,22.44059629
295,114.029472,22.4390773
296,114.0318188,22.44053498
297,114.0322214,22.43948249
298,114.0336103,22.43809888
299,114.0308327,22.43822541
300,114.0551996,22.43961333
301,114.0556254,22.44050532
302,114.053977,22.44125612
303,114.0599437,22.43765358
304,114.0630354,22.43647965
305,114.0596304,22.4396966
306,114.0589858,22.44004325
307,114.057561,22.43997582
308,114.0580422,22.44000671
309,114.0569152,22.43920454
310,114.0645901,22.44010175
311,114.063817,22.43835189
312,114.0607774,22.43998151
313,114.0685366,22.43982639
314,114.0668693,22.43868288
315,114.0699117,22.43999763
316,114.0701579,22.43973463
